sample_id,soil_type,mean_speed,std_speed,mean_accel_x,std_accel_x,mean_accel_y,std_accel_y,mean_accel_z,std_accel_z,mean_gyro_x,std_gyro_x,mean_gyro_y,std_gyro_y,mean_gyro_z,std_gyro_z,speed_drop,rms_accel_z,cluster_label
62,gravel,2.255890625,0.022640022528229588,-0.21566519222029018,1.5353847856441307,-2.0274398919007126,1.5578999440840375,9.574038331356379,1.5349544861681077,2.0155297146875,4.420800775305837,2.4866615663281255,4.695374092178202,20.897961228437502,21.61974841017407,0.04700000000000015,9.695353955822394,1
63,gravel,2.416914062500001,0.08523215423564985,0.502632713001875,1.3511852812627698,-2.006677674444168,1.4891199217960511,9.787833105707945,1.9961702381786892,6.9678924990625,5.847487275808085,-9.060594531328125,6.548101765030668,5.274866511640624,30.32527162328716,-0.355,9.987754607040223,1
64,gravel,2.5649374999999996,0.04327603217290051,-0.256740717198974,1.181824360901323,-1.9011831603995126,1.1044677896361705,9.327323364622838,1.3307025443371283,-5.9613186128125,4.015880761524766,-4.396436768359375,4.298439751339147,12.327553382734376,21.073809493779066,0.09299999999999997,9.421034777289007,1
65,gravel,2.2826562500000005,0.20590413018385928,-0.5576245319507172,1.25545744388777,-1.8405425293863096,1.591974251398834,9.558850101358768,1.8054355657732166,3.1083269753125,6.431209047067484,-4.3449885709375,4.846790127621796,-9.977610556250001,28.436127512931996,0.41100000000000003,9.726548577799567,1
66,gravel,2.274148437499999,0.10451199605965839,-1.0777648419377939,1.1864041766333873,-2.0587515605908733,1.6136965970764643,9.75539910634707,1.4363076056433977,3.3827172242187498,4.774043476555549,2.4199695159375,4.385238090612151,-0.5221036439843751,25.239462505545372,-0.24300000000000033,9.859750211567503,1
67,gravel,2.3413749999999998,0.018572267870625412,-0.7543231675095707,1.1475407353628182,-2.1687351928803795,1.6551114854030964,9.301249022989492,1.972994220333832,-2.24942834265625,9.206848810881288,0.26629193671875007,7.5840168711550415,3.5322979302343755,28.224338342685268,0.028000000000000025,9.506604431341255,1
68,gravel,2.1702500000000002,0.1533925025629339,-1.0608557856644105,1.5877630415532342,-1.6864906142087337,1.6675193846766043,9.412354912943801,1.8300489521757934,-1.3509908489843752,3.5794901319621526,1.194740826640625,10.546437722879334,-14.589843589843749,28.792967953184377,0.30800000000000005,9.587248796895908,1
69,gravel,2.2075078125000003,0.15031284939881137,-0.3620107762783411,1.222588892088459,-1.4729577542028334,2.0452494289517373,9.641150801047964,2.3446936775197456,0.5297255957031249,8.11851364038049,-2.1117568603125,7.870803527852975,1.1847371754687501,21.57125705292222,-0.31699999999999995,9.920001376020592,1
70,gravel,2.6362187499999994,0.12958060377238467,-0.4987795425713484,1.422632814240926,-1.3123591926694127,2.0334325951570213,9.734487244996718,2.1936244470459787,-0.736471017109375,3.2589244696957276,1.7740091674218748,8.494916808801838,17.032202735781247,13.784740451472246,-0.532,9.976704690415287,1
71,gravel,2.9037500000000005,0.08010662186200158,-0.5996352873253865,1.3800941721107134,-1.5707833392888375,2.19933945059893,9.386542426869848,2.80975271582152,1.249523655703125,4.6197518503814194,-3.5746951467968753,8.359164188617456,-5.6554878228125,12.483661637686556,-0.1679999999999997,9.794907433512956,1
72,gravel,3.0881406249999994,0.06460695635189094,-0.44850131118253267,1.3201394308166399,-1.2997896391097452,2.2079829779777,9.623605800913563,3.1618069379264546,-1.24285444046875,5.4120690210878575,0.060499226406250106,9.237337813411786,-3.61328123765625,18.904426367075,-0.13000000000000034,10.125843667617476,1
